lattitude,longitude,rssi,rssiPacket,snr,srcID
43.5710, 1.4667, -113, -91, 8, 2
43.5710, 1.4667, -115, -93, 8, 2
43.5710, 1.4667, -114, -91, 8, 2
43.5710, 1.4667, -115, -75, 7, 2
43.5710, 1.4667, -115, -81, 8, 2
43.5709, 1.4668, -115, -79, 7, 2
43.5709, 1.4669, -114, -82, 6, 2
43.5709, 1.4670, -114, -82, 7, 2
43.5709, 1.4671, -115, -85, 7, 2
43.5709, 1.4672, -116, -90, 7, 2
43.5710, 1.4673, -115, -91, 8, 2
43.5711, 1.4673, -115, -91, 8, 2
43.5711, 1.4674, -113, -90, 6, 2
43.5712, 1.4675, -115, -89, 6, 2
43.5712, 1.4676, -114, -87, 6, 2
43.5712, 1.4676, -115, -94, 8, 2
43.5713, 1.4677, -116, -95, 6, 2
43.5713, 1.4678, -115, -98, 6, 2
43.5713, 1.4679, -115, -97, 7, 2
43.5714, 1.4680, -115, -98, 6, 2
43.5714, 1.4680, -102, -98, 5, 2
43.5714, 1.4681, -116, -100, 6, 2
43.5714, 1.4682, -115, -96, 6, 2
43.5714, 1.4683, -116, -100, 5, 2
43.5714, 1.4683, -114, -100, 7, 2
43.5713, 1.4683, -115, -102, 5, 2
43.5712, 1.4685, -114, -101, 5, 2
43.5711, 1.4685, -115, -106, 4, 2
43.5708, 1.4686, -111, -95, 6, 2
43.5708, 1.4687, -115, -100, 7, 2
43.5707, 1.4687, -115, -93, 6, 2
43.5707, 1.4688, -115, -94, 7, 2
43.5706, 1.4689, -116, -95, 8, 2
43.5705, 1.4690, -105, -94, 6, 2
43.5704, 1.4690, -116, -92, 6, 2
43.5704, 1.4691, -116, -94, 6, 2
43.5703, 1.4691, -116, -90, 8, 2
43.5703, 1.4692, -115, -95, 7, 2
43.5702, 1.4693, -116, -96, 6, 2
43.5702, 1.4693, -115, -100, 7, 2
43.5701, 1.4693, -115, -103, 5, 2
43.5700, 1.4693, -115, -100, 5, 2
43.5700, 1.4694, -115, -101, 6, 2
43.5699, 1.4694, -116, -101, 6, 2
43.5699, 1.4695, -115, -101, 6, 2
43.5699, 1.4696, -115, -101, 6, 2
43.5699, 1.4697, -115, -100, 6, 2
43.5699, 1.4698, -115, -93, 8, 2
43.5700, 1.4699, -114, -91, 5, 2
43.5700, 1.4700, -115, -89, 8, 2
43.5701, 1.4700, -115, -81, 7, 2
43.5702, 1.4700, -116, -89, 8, 2
43.5702, 1.4700, -115, -96, 6, 2
43.5703, 1.4700, -113, -92, 7, 2
43.5704, 1.4700, -115, -98, 7, 2
43.5705, 1.4699, -115, -99, 7, 2
43.5705, 1.4699, -115, -90, 6, 2
43.5706, 1.4699, -114, -94, 6, 2
43.5707, 1.4699, -113, -89, 7, 2
43.5708, 1.4699, -114, -94, 7, 2
43.5708, 1.4699, -113, -103, 4, 2
43.5709, 1.4699, -115, -105, 4, 2
43.5710, 1.4698, -114, -104, 6, 2
43.5711, 1.4698, -115, -118, -1, 2
43.5712, 1.4698, -116, -108, 3, 2
43.5712, 1.4698, -114, -102, 6, 2
43.5713, 1.4698, -112, -107, 3, 2
43.5718, 1.4698, -115, -108, 3, 2
43.5719, 1.4698, -115, -103, 5, 2
43.5720, 1.4698, -115, -103, 6, 2
43.5720, 1.4698, -115, -103, 5, 2
43.5721, 1.4698, -112, -104, 5, 2
43.5722, 1.4698, -114, -103, 6, 2
43.5723, 1.4698, -115, -102, 6, 2
43.5724, 1.4698, -112, -106, 4, 2
43.5724, 1.4698, -115, -103, 5, 2
43.5725, 1.4698, -115, -106, 6, 2
43.5725, 1.4698, -112, -102, 4, 2
43.5726, 1.4698, -111, -106, 3, 2
43.5727, 1.4698, -111, -105, 6, 2
43.5727, 1.4698, -113, -107, 2, 2
43.5728, 1.4697, -114, -105, 4, 2
43.5729, 1.4697, -115, -106, 4, 2
43.5729, 1.4697, -115, -104, 4, 2
43.5730, 1.4697, -115, -105, 5, 2
43.5731, 1.4697, -114, -106, 4, 2
43.5732, 1.4697, -115, -108, 2, 2
